,Size,price,CleanPrice,efficiency,CostPerKW,IncentivePct,State,zip,Year,ResidentialRate,SolarRadiation,Month,Date,ConstructionPriceIndex,ROIYears
2831,3.99,19110.0,19480.5385146,0.173780488,4882.340479849624,-0.019389770518053382,CA,92107,2017,18.15,5.75072289156626,9,2017-09-01,127.3,12.81551690471178
2832,4.59781429,28939.0,28215.9842801,0.17857142899999998,6136.825565457973,0.024984129372127583,CA,90041,2017,18.15,5.75072289156626,9,2017-09-01,127.3,16.10837918821598
2833,5.13,26163.0,26639.406661700003,0.173780488,5192.866795653022,-0.0182091756182395,CA,92069,2017,18.15,5.75072289156626,9,2017-09-01,127.3,13.63060861450972
2834,8.99,37857.0,38691.8724929,0.176829268,4303.879031468297,-0.02205331888158069,CA,92130,2017,18.15,5.75072289156626,9,2017-09-01,127.3,11.297129872703051
2835,7.185,31961.0,32628.247926800002,0.156441718,4541.161854808629,-0.02087694148493476,CA,92114,2017,18.15,5.75072289156626,9,2017-09-01,127.3,11.919966818685447
2836,11.55,37422.0,38494.611489999996,0.192982456,3332.8667956709955,-0.028662591256480144,CA,91941,2017,18.15,5.75072289156626,9,2017-09-01,127.3,8.748347424223425
2837,3.835,14651.0,15007.1441613,0.177710843,3913.2057786962187,-0.024308522373899397,CA,92128,2017,18.15,5.75072289156626,9,2017-09-01,127.3,10.271662743611406
2838,4.27,15800.0,16196.5412174,0.18597561,3793.100987681499,-0.025097545405063287,CA,91910,2017,18.15,5.75072289156626,9,2017-09-01,127.3,9.956403087727384
2839,6.09,26000.0,26565.558785499998,0.173655294,4362.160720114944,-0.021752260980769232,CA,92027,2017,18.15,5.75072289156626,9,2017-09-01,127.3,11.450111822480798
2840,6.405,22650.0,23244.8118261,0.18597561,3629.1665614519898,-0.02626100777483444,CA,91977,2017,18.15,5.75072289156626,9,2017-09-01,127.3,9.526096266791948
2841,6.72,27888.0,28512.0648668,0.181846994,4242.8667956547615,-0.02237754112162937,CA,92058,2017,18.15,5.75072289156626,9,2017-09-01,127.3,11.13698058719343
2842,2.97,11071.0,11346.8143831,0.192982456,3820.476223265993,-0.024913231243790086,CA,91911,2017,18.15,5.75072289156626,9,2017-09-01,127.3,10.02825956636739
2843,4.905,21528.0,21983.511632700003,0.200525659,4481.857621345565,-0.02115903161928651,CA,92071,2017,18.15,5.75072289156626,9,2017-09-01,127.3,11.76430082005147
2844,5.28,22470.0,22960.336681,0.16582914599999998,4348.5486138257575,-0.021821837160658653,CA,92691,2017,18.15,5.75072289156626,9,2017-09-01,127.3,11.414381791161238
2845,5.695,17459.0,17987.8764012,0.195906433,3158.5384374363475,-0.03029247959218741,CA,92121,2017,18.15,5.75072289156626,9,2017-09-01,127.3,8.29075786627527
2846,4.2,17850.0,18240.0405417,0.173780488,4342.866795642857,-0.0218510107394958,CA,91977,2017,18.15,5.75072289156626,9,2017-09-01,127.3,11.399467747932796
2847,4.48,16741.76,15343.759999999998,0.195121951,3424.9464285714284,0.08350376543445852,NY,11434,2017,17.44,4.219733333333334,9,2017-09-01,127.3,12.75056505048731
2848,5.22,21031.38,18943.38,0.173652695,3629.0000000000014,0.0992802184164805,NY,11203,2017,17.44,4.219733333333334,9,2017-09-01,127.3,13.510226081848172
2849,5.51,20381.96,18177.96,0.173655294,3299.0852994555353,0.10813484081020668,NY,10705,2017,17.44,4.219733333333334,9,2017-09-01,127.3,12.28200282693471
2850,11.7,49842.0,45162.0,0.17964071899999998,3860.0000000000014,0.09389671361502347,NY,10980,2017,17.44,4.219733333333334,9,2017-09-01,127.3,14.370204650298687
2851,6.21,34741.5,32256.5,0.200525659,5194.283413848631,0.07152828749478289,NY,11004,2017,17.44,4.219733333333334,9,2017-09-01,127.3,19.337542919341175
2852,6.76,33612.0,30976.0,0.158536585,4582.248520710059,0.07842437224800666,NY,10567,2017,17.44,4.219733333333334,9,2017-09-01,127.3,17.05902823863523
2853,8.64,39225.6,35769.6,0.220762194,4140.0,0.0881057268722467,NY,11234,2017,17.44,4.219733333333334,9,2017-09-01,127.3,15.412602915087191
2854,5.52,19500.0,17292.0,0.211656442,3132.608695652174,0.11323076923076925,NY,11367,2017,17.44,4.219733333333334,9,2017-09-01,127.3,11.6622352450329
2855,3.25,13845.0,12545.0,0.19411445,3860.0,0.09389671361502347,NY,12789,2017,17.44,4.219733333333334,9,2017-09-01,127.3,14.370204650298689
2856,6.5,32318.38,30394.38,0.19411445,4676.058461538461,0.059532686972552464,NY,10919,2017,17.44,4.219733333333334,9,2017-09-01,127.3,17.408268665561796
2857,5.61,23570.0,21326.0,0.170072234,3801.426024955436,0.0952057700466695,NY,13323,2017,17.44,4.219733333333334,9,2017-09-01,127.3,14.152142471912194
2858,10.8,35560.0,31240.0,0.208092486,2892.5925925925926,0.12148481439820022,NY,12056,2017,17.44,4.219733333333334,9,2017-09-01,127.3,10.76869106878073
2859,7.25,29994.3,27096.3,0.211563769,3737.4206896551723,0.0966183574879227,NY,10305,2017,17.44,4.219733333333334,9,2017-09-01,127.3,13.913860148861472
2860,5.3,20548.0,20548.0,0.16374652,3876.9811320754716,0.0,NY,10520,2017,17.44,4.219733333333334,9,2017-09-01,127.3,14.433422873904462
2861,5.67,31998.5,29730.5,0.198412698,5243.47442680776,0.07087832242136351,NY,10306,2017,17.44,4.219733333333334,9,2017-09-01,127.3,19.520673728454696
2862,11.4,48564.0,45418.0,0.17964071899999998,3984.035087719298,0.06478049584054031,NY,12859,2017,17.44,4.219733333333334,9,2017-09-01,127.3,14.831968793911143
2863,8.4,35784.0,32424.0,0.17964071899999998,3860.0,0.09389671361502347,NY,12553,2017,17.44,4.219733333333334,9,2017-09-01,127.3,14.370204650298687
2864,13.02,45347.4,45347.4,0.18902439,3482.903225806452,0.0,NY,11550,2017,17.44,4.219733333333334,9,2017-09-01,127.3,12.96632956788191
2865,5.2,22152.0,20738.0,0.19411445,3988.0769230769233,0.06383170819790539,NY,10940,2017,17.44,4.219733333333334,9,2017-09-01,127.3,14.847015944494531
2866,6.6,25756.0,23750.0,0.192982456,3598.4848484848485,0.07788476471501786,NY,10312,2017,17.44,4.219733333333334,9,2017-09-01,127.3,13.39662272117263
2867,8.41,41779.5,39424.5,0.173652695,4687.812128418549,0.056367357196711314,NY,12303,2017,17.44,4.219733333333334,9,2017-09-01,127.3,17.45202581542146
